grade,subject,subject_slug,chapter_number,chapter_title,r2_key,status,error
11,Biology,biology,1,The Living World,chapter-covers/grade-11/biology/chapter-01-the-living-world.jpg,UPLOADED,
11,Biology,biology,2,Biological Classification,chapter-covers/grade-11/biology/chapter-02-biological-classification.jpg,UPLOADED,
11,Biology,biology,3,Plant Kingdom,chapter-covers/grade-11/biology/chapter-03-plant-kingdom.jpg,UPLOADED,
11,Biology,biology,4,Animal Kingdom,chapter-covers/grade-11/biology/chapter-04-animal-kingdom.jpg,UPLOADED,
11,Biology,biology,5,Morphology of Flowering Plants,chapter-covers/grade-11/biology/chapter-05-morphology-of-flowering-plants.jpg,UPLOADED,
11,Biology,biology,6,Anatomy of Flowering Plants,chapter-covers/grade-11/biology/chapter-06-anatomy-of-flowering-plants.jpg,UPLOADED,
11,Biology,biology,7,Structural Organisation in Animals,chapter-covers/grade-11/biology/chapter-07-structural-organisation-in-animals.jpg,UPLOADED,
11,Biology,biology,8,Cell: the Unit of Life,chapter-covers/grade-11/biology/chapter-08-cell-the-unit-of-life.jpg,UPLOADED,
11,Biology,biology,9,Biomolecules,chapter-covers/grade-11/biology/chapter-09-biomolecules.jpg,UPLOADED,
11,Biology,biology,10,Cell Cycle and Cell Division,chapter-covers/grade-11/biology/chapter-10-cell-cycle-and-cell-division.jpg,UPLOADED,
11,Biology,biology,11,Photosynthesis in Higher Plants,chapter-covers/grade-11/biology/chapter-11-photosynthesis-in-higher-plants.jpg,UPLOADED,
11,Biology,biology,12,Respiration in Plants,chapter-covers/grade-11/biology/chapter-12-respiration-in-plants.jpg,UPLOADED,
11,Biology,biology,13,Plant Growth and Development,chapter-covers/grade-11/biology/chapter-13-plant-growth-and-development.jpg,UPLOADED,
11,Biology,biology,14,Breathing and Exchange of Gases,chapter-covers/grade-11/biology/chapter-14-breathing-and-exchange-of-gases.jpg,UPLOADED,
11,Biology,biology,15,Body Fluids and Circulation,chapter-covers/grade-11/biology/chapter-15-body-fluids-and-circulation.jpg,UPLOADED,
11,Biology,biology,16,Excretory Products and Their Elimination,chapter-covers/grade-11/biology/chapter-16-excretory-products-and-their-elimination.jpg,UPLOADED,
11,Biology,biology,17,Locomotion and Movement,chapter-covers/grade-11/biology/chapter-17-locomotion-and-movement.jpg,UPLOADED,
11,Biology,biology,18,Neural Control and Coordination,chapter-covers/grade-11/biology/chapter-18-neural-control-and-coordination.jpg,UPLOADED,
11,Biology,biology,19,Chemical Coordination and Integration,chapter-covers/grade-11/biology/chapter-19-chemical-coordination-and-integration.jpg,UPLOADED,
11,Chemistry,chemistry,1,Some Basic Concepts of Chemistry,chapter-covers/grade-11/chemistry/chapter-01-some-basic-concepts-of-chemistry.jpg,UPLOADED,
11,Chemistry,chemistry,2,Structure of Atom,chapter-covers/grade-11/chemistry/chapter-02-structure-of-atom.jpg,UPLOADED,
11,Chemistry,chemistry,3,Classification of Elements and Periodicity in Properties,chapter-covers/grade-11/chemistry/chapter-03-classification-of-elements-and-periodicity-in-properties.jpg,UPLOADED,
11,Chemistry,chemistry,4,Chemical Bonding and Molecular Structure,chapter-covers/grade-11/chemistry/chapter-04-chemical-bonding-and-molecular-structure.jpg,UPLOADED,
11,Chemistry,chemistry,5,Thermodynamics,chapter-covers/grade-11/chemistry/chapter-05-thermodynamics.jpg,UPLOADED,
11,Chemistry,chemistry,6,Equilibrium,chapter-covers/grade-11/chemistry/chapter-06-equilibrium.jpg,UPLOADED,
11,Chemistry,chemistry,7,Redox Reactions,chapter-covers/grade-11/chemistry/chapter-07-redox-reactions.jpg,UPLOADED,
11,Chemistry,chemistry,8,Organic Chemistry – Some Basic Principles and Techniques,chapter-covers/grade-11/chemistry/chapter-08-organic-chemistry-some-basic-principles-and-techniques.jpg,UPLOADED,
11,Chemistry,chemistry,9,Hydrocarbons,chapter-covers/grade-11/chemistry/chapter-09-hydrocarbons.jpg,UPLOADED,
11,Physics,physics,1,Units and Measurement,chapter-covers/grade-11/physics/chapter-01-units-and-measurement.jpg,UPLOADED,
